label_name,gain,tone,latents,coords
honeybee,0,2,"[0.5753030776977539, -0.7828850746154785, 0.1937960833311081, -0.7228184938430786, 0.9621663093566895, -0.15477930009365082, 0.8092238306999207, -0.056863561272621155]","[0.48957690596580505, 0.06074105203151703]"
bigfella,4,4,"[-0.8727644681930542, -0.5144159197807312, -0.6406813859939575, -0.9219003915786743, -0.8882008790969849, 0.8909401893615723, -0.9250081777572632, 0.2014874815940857]","[1.0, 0.8383914828300476]"
honeybee,5,0,"[0.4987802505493164, 0.04440717771649361, 0.23539721965789795, -0.04919074475765228, 0.526709794998169, -0.8685658574104309, 0.6745651960372925, -0.20500171184539795]","[0.309183269739151, 0.2142544537782669]"
honeybee,4,1,"[0.9443574547767639, 0.35270383954048157, -0.4334457218647003, 0.5730089545249939, -0.8604647517204285, 0.6757584810256958, 0.1943133920431137, -0.5984753966331482]","[0.07402198761701584, 0.4276845455169678]"
honeybee,1,5,"[0.8586476445198059, -0.6657118201255798, -0.5736172199249268, -0.0945563092827797, 0.5720545053482056, 0.14661294221878052, 0.9383273720741272, -0.1843140572309494]","[0.36643752455711365, 0.08113552629947662]"
bigfella,2,4,"[-0.286264032125473, 0.14761623740196228, -0.029341960325837135, -0.8181692361831665, -0.11505671590566635, 0.34386470913887024, 0.45547136664390564, 0.008945122361183167]","[0.4443912208080292, 0.48547863960266113]"
bigfella,3,2,"[-0.4145011305809021, -0.8794130086898804, -0.7880597114562988, 0.010034194216132164, 0.04732304438948631, -0.9001920819282532, 0.9423420429229736, 0.7082594633102417]","[0.7883170247077942, 0.18762704730033875]"
honeybee,5,5,"[-0.49060550332069397, -0.8666397929191589, -0.04308751970529556, -0.9254852533340454, -0.515592098236084, 0.03178011253476143, -0.7691649794578552, -0.7648785710334778]","[0.9610477089881897, 0.5730961561203003]"
honeybee,3,0,"[0.707535982131958, 0.025935014709830284, 0.6256877183914185, 0.07806188613176346, -0.03851405158638954, -0.5120320916175842, 0.1354382187128067, -0.9597849249839783]","[0.3128453493118286, 0.2339554876089096]"
honeybee,1,2,"[0.27284860610961914, -0.07118919491767883, 0.7355233430862427, -0.9131112098693848, 0.642762303352356, -0.8401526212692261, 0.886856734752655, -0.3760148286819458]","[0.3951309323310852, 0.08816058188676834]"
bigfella,4,3,"[0.5191808938980103, 0.07650695741176605, 0.6985908150672913, 0.3756386339664459, 0.8402748703956604, -0.6084767580032349, -0.1120157316327095, 0.9442052841186523]","[0.5789028406143188, 0.3072758615016937]"
bigfella,1,2,"[0.6357619166374207, 0.7180002331733704, -0.15175579488277435, 0.9456984996795654, -0.5773234367370605, -0.5548487305641174, 0.643081784248352, 0.1012461706995964]","[0.10464406758546829, 0.5523942112922668]"
honeybee,3,2,"[0.509930431842804, 0.4342285394668579, -0.3453148901462555, 0.8302751183509827, -0.1887717843055725, 0.2663819491863251, 0.9519339203834534, -0.8560115694999695]","[0.0313643179833889, 0.4563775360584259]"
